*_id,title,authorname,rating,voters_count,gender,hometown,books_num,works_count,publisher
0,"The Sword and The Prophet (Syren, #1)",Missy LaRae,3.8,50,female,"Portland, Oregon",2,2,Pretty Wycked Designs
1,"Ruins (Partials Sequence, #3)",Dan Wells,4.05,14673,male,,10,45,Balzer + Bray
2,"Breathe (Sea Breeze, #1)",Abbi Glines,3.86,77770,female,"Birmingham, Alabama",10,88,Wild Child Publishing
3,The Knife-Edge Path,Patrick T. Leahy,4,5,,,3,3,
4,The Lock Artist,Steve Hamilton,3.97,10967,male,"Detroit, MI",10,35,
5,"Captivated (The Affliction Series, #1)",E.M. Jade,3.9,2818,female,Phoenix,6,6,Eminent Books
6,Turn of Mind,Alice LaPlante,3.65,14028,,,10,13,Bond Street Books
7,Let the Right One In,John Ajvide Lindqvist,4.07,82770,male,Blackeberg,10,49,
8,"The Devouring Gray (The Devouring Gray, #1)",Christine Lynn Herman,3.68,4941,female,Manhattan,4,4,"Little, Brown Books for Young Readers"
9,The Fill-In Boyfriend,Kasie West,3.92,47193,female,California,10,16,HarperTeen
10,Hard Kill (The Rizwan Sabir Mysteries #1),Charlie Flowers,4.16,149,male,,10,10,Endeavour Press
11,"Rooted in Danger (Blackthorne, Inc. #3)",Terry Odell,4.19,173,female,,10,50,Five Star
12,Pandaemonium,Christopher Brookmyre,3.82,2051,male,Glasgow,10,33,
13,Long Walk to Freedom,Nelson Mandela,4.33,60816,male,Mvezo,10,154,Back Bay Books
14,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.03,207613,male,Belfast,10,539,HarperCollins Publishers
15,"The Golden Dynasty (Fantasyland, #2)",Kristen Ashley,4.42,25655,female,"Gary, Indiana",10,106,
16,"Knife Edge (Noughts & Crosses, #2)",Malorie Blackman,4.09,15401,female,London,10,115,Corgi Childrens
17,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.55,235574,male,"San Antonio, Texas",10,186,Disney-Hyperion Books
18,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,4.25,134804,male,"San Antonio, Texas",10,186,Disney-Hyperion Books
19,The Thunderbird Conspiracy: Oswald's Friend Robert Kaye,R.K. Price,3.57,14,,,6,6,Quiet Owl Books
20,Feather And Bone,Lazlo Strangolov,3.57,46,,,2,2,
21,The Painted Bird,Jerzy Kosiński,3.93,19963,male,Łódź,10,29,Bantam Books (Mm)
22,"Stunned (The Lucidites, #2)",Sarah Noffke,4.37,279,female,,10,93,One-Twenty-Six Press
23,"The Ring of Solomon (Bartimaeus, #0.5)",Jonathan Stroud,4.2,26425,male,Bedford,10,53,Listening Library
24,"B.P.R.D. Hell on Earth, Vol. 1: New World",Mike Mignola,4.02,1068,male,"Berkeley, California",10,1017,Dark Horse Books
25,"Chosen (The Chosen, #1)",Denise Grover Swank,3.84,7120,female,Kansas City,10,97,Createspace Independent Publishing Platform
26,Illuminations,Mary Sharratt,3.93,3398,female,Minneapolis,10,12,Houghton Mifflin Harcourt
27,Decay: Civilization,Linus Locke,4.25,12,male,,4,4,Dustin Spitznogle
28,The UnTied Kingdom,Kate Johnson,3.89,550,female,,10,26,Choc Lit
29,Jupiter Rising - The Columbus Protocols,Sean MacUisdin,3.87,31,male,New Westminster,8,8,Amazon.com
30,Flames to the Beast,M.A. Levi,4.47,32,female,,6,6,Malevi
31,Secondborn (Secondborn #1),Amy A. Bartol,3.97,18815,female,,10,17,
32,"Garden of Lies (Garden of Lies, #1)",Eileen Goudge,3.91,3088,female,"San Mateo, CA",10,75,Signet
33,"Cursed (The Brookehaven Vampires, #4)",Joann I. Martin-Sowles,4.33,382,female,,6,6,Brookehaven Publishing
34,A Special Providence,Richard Yates,3.84,1005,male,"Yonkers, New York",10,32,Picador
35,"The Siren Song (Cronus Chronicles, #2)",Anne Ursu,3.91,2046,female,"Minneapolis, Minnesota",10,17,Atheneum Books for Young Readers
36,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,4.12,92101,,,10,47,Anchor Books
37,"Outlander (Outlander, #1)",Diana Gabaldon,4.23,765276,female,Arizona,10,153,Dell Publishing Company
38,The Written (Emaneska #1),Ben Galley,3.69,1462,male,Cambridge,10,30,BenGalley.com
39,"The Scavenger's Daughters (Tales of the Scavenger's Daughters, #1)",Kay Bratt,4.13,4932,,,10,22,Lake Union Publishing
40,One Night with the Prince,T.M. Mendes,3.98,1381,female,,7,7,
41,Deadly Sanctuary (Kendall O'Dell #1),Sylvia Nobel,3.5,2756,female,"Uniontown, Pennsylvania",7,7,Nite Owl Books
42,Nightlife (Cal Leandros #1),Rob Thurman,3.64,12723,female,,10,32,Penguin
43,The Italian Party,Christina Lynch,3.57,1576,,,2,2,St. Martin's Press
